X,Y,Population,Elevation,Slope,Landcover,Riverflow,Road_dist,Cluster,M,Unnamed_ 0,Weight,clusters,layer,path,id
195231.849099999992177,8443927.949999999254942,"0",510.835998500000017,,,,,,"0","86",5.531014298241273,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"53"
195197.624299999995856,8444913.533999999985099,"0",504.729003900000009,,,,,,"0","87",5.995234621508643,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"54"
195163.406599999987520,8445899.114000000059605,"33",479.463012699999979,,,,,,"0","88",3.372127454025009,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"55"
195129.196100000001024,8446884.689999999478459,"0",522.658019999999965,,,,,,"0","89",1.000000000000000,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"56"
196383.759499999985565,8440019.523000000044703,"0",796.590026899999884,,,,,,"0","95",7.477141349113015,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"57"
196349.511900000012247,8441005.118999999016523,"0",624.991027799999983,,,,,,"0","96",7.235515310527290,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"58"
196315.271299999993062,8441990.708999998867512,"0",602.677001999999902,,,,,,"0","97",9.481492633383867,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"59"
196281.037899999995716,8442976.296000000089407,"0",539.999023400000056,,,,,,"0","98",9.067861330871576,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"60"
196246.811699999991106,8443961.877000000327826,"0",507.121002200000021,,,,,,"0","99",7.013863047653162,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"61"
196212.592499999998836,8444947.453999999910593,"8",495.118988000000002,,,,,,"0","100",4.733403954683642,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"62"
196178.380499999999302,8445933.027000000700355,"11",501.829009999999982,,,,,,"0","101",3.134357975675244,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"63"
196144.175599999987753,8446918.595000000670552,"0",536.155029300000024,,,,,,"0","102",8.633796575103290,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"64"
197364.449800000002142,8441039.060000000521541,"0",853.723999000000049,,,,,,"0","109",7.746873446016989,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"65"
197330.214999999996508,8442024.643999999389052,"0",591.119018600000118,,,,,,"0","110",9.310658959968816,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"66"
197295.987400000012713,8443010.222000000998378,"0",534.979980500000011,,,,,,"0","111",9.109910163487454,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"67"
197261.766800000012154,8443995.797000000253320,"0",511.220001200000013,,,,,,"0","112",7.092803212406019,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"68"
197227.553299999999581,8444981.366000000387430,"0",496.589996300000053,,,,,,"0","113",5.474748289024148,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"69"
197193.346900000004098,8445966.932000000029802,"0",508.721008300000051,,,,,,"0","114",1.000000000000000,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"70"
197159.147599999996601,8446952.492000000551343,"0",533.656982399999947,,,,,,"0","115",8.601285078359282,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"71"
198379.380399999994552,8441072.993999999016523,"0",954.737976099999969,,,,,,"0","120",7.295112826131617,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"72"
198345.151400000002468,8442058.570000000298023,"0",833.776000999999951,,,,,,"0","121",7.603871313988793,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"73"
198310.929399999993620,8443044.142000000923872,"0",608.474975599999993,,,,,,"0","122",7.264808154461858,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"74"
198276.714600000006612,8444029.707999998703599,"0",515.085998500000187,,,,,,"0","123",7.034598682047982,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"75"
198242.506699999998091,8445015.270999999716878,"0",528.356018100000028,,,,,,"0","124",7.075327500093676,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"76"
198208.306000000011409,8446000.828999999910593,"0",511.618988000000002,,,,,,"0","125",4.418430982795950,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"77"
198174.112300000007963,8446986.382000001147389,"0",548.432006799999954,,,,,,"0","126",4.273303927044663,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"78"
199360.080400000006193,8442092.489000000059605,"0",814.557006799999954,,,,,,"0","131",7.410506240045421,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"79"
199325.864200000010896,8443078.052999999374151,"0",691.234985399999800,,,,,,"0","132",7.715713718382647,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"80"
199291.654899999994086,8444063.611999999731779,"0",543.851013200000011,,,,,,"0","133",7.127266828208294,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"81"
199257.452799999999115,8445049.167000001296401,"0",544.015991200000030,,,,,,"0","134",7.042870221979811,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"82"
199223.257699999987381,8446034.718000000342727,"0",515.976013200000011,,,,,,"0","135",6.635049152018093,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"83"
199189.069599999987986,8447020.264000000432134,"0",558.083984399999963,,,,,,"0","136",6.652153573681837,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"84"
200306.587999999988824,8444097.507999999448657,"0",600.252990700000055,,,,,,"0","142",9.327816194245909,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"85"
200272.391499999997905,8445083.055999999865890,"0",548.833007800000019,,,,,,"0","143",9.095964197412213,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"86"
200238.201999999990221,8446068.598999999463558,"0",534.107971200000179,,,,,,"0","144",7.020234432552535,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"87"
200204.019599999999627,8447054.138000000268221,"0",569.280029299999796,,,,,,"0","145",7.031273095799921,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"88"
201253.139100000000326,8446102.472999999299645,"0",556.286987299999964,,,,,,"0","152",7.113382684029377,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"89"
201218.962200000009034,8447088.004000000655651,"0",562.008972200000017,,,,,,"0","153",9.054191605682119,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"90"
183963.924599999998463,8446511.219000000506639,"3",439.712005599999998,,,,,,"0","257",7.088405908057108,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"91"
183792.673199999990175,8451439.446000000461936,"56",426.502014200000019,,,,,,"0","258",1.000000000000000,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"92"
183724.224599999986822,8453410.707000000402331,"2",417.425994899999978,,,,,,"0","259",9.037570215955226,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"93"
183690.011499999993248,8454396.331000000238419,"0",455.819000200000005,,,,,,"0","260",7.045226357321019,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"94"
183655.805800000001909,8455381.949999999254942,"0",432.303985599999976,,,,,,"0","261",7.047300705868603,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"95"
183621.607500000012806,8456367.565999999642372,"0",436.876007099999981,,,,,,"0","262",7.045900307148376,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"96"
183587.416700000001583,8457353.177000001072884,"6",450.354003900000009,,,,,,"0","263",7.052699520390638,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"97"
