Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,ID1,ID2,Weight_2,line_lengt,line_len_1,i
"3950","3951",204426.010700000013458,8501453.267999999225140,"0",855.520996100000275,7.098639484804652,"2","3951","4002","33708",,1416.433751397574497,"39"
"3951","3952",204392.249299999995856,8502438.551000000908971,"0",802.406005899999968,7.182394168495001,"2","3953","3952","23440",,985.857025186515784,"40"
"3951","3952",204392.249299999995856,8502438.551000000908971,"0",802.406005899999968,7.182394168495001,"2","3952","3951","23496",,985.861259114222094,"41"
"3952","3953",204358.494799999985844,8503423.830000000074506,"0",854.927001999999902,7.064801222780613,"-1","3901","3953","33666",,1416.444783194858701,"42"
"3952","3953",204358.494799999985844,8503423.830000000074506,"0",854.927001999999902,7.064801222780613,"-1","3953","3952","23440",,985.857025186515784,"43"
"4001","4002",205474.943700000003446,8500501.414999999105930,"0",832.942993200000046,7.179776200382332,"2","3951","4002","33708",,1416.433751397574497,"44"
"4001","4002",205474.943700000003446,8500501.414999999105930,"0",832.942993200000046,7.179776200382332,"2","4002","4051","34113",,1416.423800514339291,"45"
"4047","4048",206625.209800000011455,8496593.722999999299645,"2",887.612976099999969,7.103533555626403,"2","4049","4048","6740",,985.864155519945029,"46"
"4048","4049",206591.422200000000885,8497579.007999999448657,"10",916.015991200000030,4.099861622066703,"2","4050","4049","16676",,985.859921415051645,"47"
"4048","4049",206591.422200000000885,8497579.007999999448657,"10",916.015991200000030,4.099861622066703,"2","4049","4048","6740",,985.864155519945029,"48"
"4049","4050",206557.641499999997905,8498564.288999998942018,"0",901.997985800000038,6.049250114821104,"2","4051","4050","21846",,985.856683345704369,"49"
"4049","4050",206557.641499999997905,8498564.288999998942018,"0",901.997985800000038,6.049250114821104,"2","4050","4049","16676",,985.859921415051645,"50"
"4050","4051",206523.867800000007264,8499549.566999999806285,"0",917.148986799999989,7.246739019695362,"2","4002","4051","34113",,1416.423800514339291,"51"
"4050","4051",206523.867800000007264,8499549.566999999806285,"0",917.148986799999989,7.246739019695362,"2","4051","4050","21846",,985.856683345704369,"52"
"5430","5431",230072.593599999992875,8494406.007000001147389,"0",1178.170043999999962,7.059562918972603,"2","5497","5431","11883",1015.507581427404830,,"53"
"5496","5497",231087.554399999993620,8494439.326999999582767,"0",1191.319946000000073,7.020441080831564,"2","5559","5497","17199",1015.500755325530235,,"54"
"5496","5497",231087.554399999993620,8494439.326999999582767,"0",1191.319946000000073,7.020441080831564,"2","5497","5431","11883",1015.507581427404830,,"55"
"5498","5499",231020.153900000004796,8496409.582999998703599,"0",1183.050048999999944,7.508154754344328,"2","5562","5499","8647",,1414.240560454029037,"56"
"5558","5559",232102.508600000001024,8494472.640000000596046,"0",1075.099975999999970,3.076685240477417,"2","5559","5497","17199",1015.500755325530235,,"57"
"5561","5562",232001.430200000002515,8497428.000000000000000,"45",1049.640014999999948,3.651988227543919,"2","5625","5562","10964",,1414.229826332631319,"58"
"5561","5562",232001.430200000002515,8497428.000000000000000,"45",1049.640014999999948,3.651988227543919,"2","5562","5499","8647",,1414.240560454029037,"59"
"5624","5625",232982.714899999991758,8498446.393999999389052,"6",1030.189941000000090,1.000000000000000,"2","5688","5625","4714",,1414.218884393533244,"60"
"5624","5625",232982.714899999991758,8498446.393999999389052,"6",1030.189941000000090,1.000000000000000,"2","5625","5562","10964",,1414.229826332631319,"61"
"5687","5688",233964.007699999987381,8499464.765000000596046,"0",1054.959961000000021,1.000000000000000,"2","5751","5688","4714",,1414.208662871473734,"62"
"5687","5688",233964.007699999987381,8499464.765000000596046,"0",1054.959961000000021,1.000000000000000,"2","5688","5625","4714",,1414.218884393533244,"63"
"5725","5726",235788.543999999994412,8475854.903999999165535,"6",805.161010700000134,3.794146244128883,"3","5788","5726","8554",1015.390770374651993,,"64"
"5750","5751",234945.308599999989383,8500483.114000000059605,"0",1033.109985000000052,1.000000000000000,"2","5752","5751","8756",,985.658525451491528,"65"
"5750","5751",234945.308599999989383,8500483.114000000059605,"0",1033.109985000000052,1.000000000000000,"2","5751","5688","4714",,1414.208662871473734,"66"
"5751","5752",234911.659799999993993,8501468.197999998927116,"0",1043.280029000000013,4.330539037237857,"2","5815","5752","12622",,1414.197737473596817,"67"
"5751","5752",234911.659799999993993,8501468.197999998927116,"0",1043.280029000000013,4.330539037237857,"2","5752","5751","8756",,985.658525451491528,"68"
"5787","5788",236803.385000000009313,8475888.312999999150634,"0",801.874023400000056,5.054250589505997,"3","7075","5788","10253",1015.384077754417376,,"69"
