Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,ID1,ID2,Weight_2,id_2,line_lengt,i
"6161","6162",240229.642499999987194,8524322.774000000208616,"16",353.092010500000015,4.749795324276861,"9","6095","6162",29199.501203716812597,0.000000000000000,1015.553217928080130,"178"
"6168","6169",239995.427399999985937,8531217.549000000581145,"0",352.808013899999992,7.019435037262893,"9","6101","6169",99470.660903872660128,0.000000000000000,1414.152070986164063,"179"
"6227","6228",241278.130999999993946,8523370.860999999567866,"0",368.579009999999982,3.184889768589822,"9","6228","6294",53360.662017611051851,0.000000000000000,1416.136699489837838,"180"
"6227","6228",241278.130999999993946,8523370.860999999567866,"0",368.579009999999982,3.184889768589822,"9","6228","6162",56186.680336552497465,0.000000000000000,1416.144941099774542,"181"
"6228","6229",241244.650900000007823,8524355.832999998703599,"0",360.194000200000005,4.274681190437302,"9","6229","6296",57757.655850542148983,0.000000000000000,1015.539934129966923,"182"
"6228","6229",241244.650900000007823,8524355.832999998703599,"0",360.194000200000005,4.274681190437302,"9","6229","6162",45825.003892108092259,0.000000000000000,1015.546625985977244,"183"
"6275","6276",242930.332400000013877,8504689.038999998942018,"8",394.679992700000014,7.111038534402154,"9","6276","6277",69825.731356826101546,0.000000000000000,985.592604759567507,"184"
"6276","6277",242896.741000000009080,8505674.059000000357628,"0",427.144989000000010,7.050569583658542,"9","6276","6277",69825.731356826101546,0.000000000000000,985.592604759567507,"185"
"6276","6277",242896.741000000009080,8505674.059000000357628,"0",427.144989000000010,7.050569583658542,"9","6277","6278",69804.921433480631094,0.000000000000000,985.590398034885425,"186"
"6277","6278",242863.155700000002980,8506659.076999999582767,"0",409.966003399999977,7.112376863592202,"9","6277","6278",69804.921433480631094,0.000000000000000,985.590398034885425,"187"
"6277","6278",242863.155700000002980,8506659.076999999582767,"0",409.966003399999977,7.112376863592202,"9","6278","6279",69808.283689581701765,0.000000000000000,985.586192511589388,"188"
"6278","6279",242829.576499999995576,8507644.091000000014901,"0",392.300994899999978,7.051188755606432,"9","6278","6279",69808.283689581701765,0.000000000000000,985.586192511589388,"189"
"6278","6279",242829.576499999995576,8507644.091000000014901,"0",392.300994899999978,7.051188755606432,"9","6279","6280",69610.639675059646834,0.000000000000000,985.582989848709531,"190"
"6279","6280",242796.003300000011222,8508629.101999999955297,"0",442.910003700000004,7.056004344860001,"9","6279","6280",69610.639675059646834,0.000000000000000,985.582989848709531,"191"
"6279","6280",242796.003300000011222,8508629.101999999955297,"0",442.910003700000004,7.056004344860001,"9","6280","6347",71893.706329848588211,0.000000000000000,1015.476266151020241,"192"
"6283","6284",242661.770599999988917,8512569.117000000551343,"0",555.395019499999989,7.260963900810022,"9","6284","6351",72645.484793083800469,0.000000000000000,1015.491241980864970,"193"
"6291","6292",242393.595299999986310,8520449.007999999448657,"0",839.155029299999796,7.598507473421682,"9","6292","6293",60413.657608506371616,0.000000000000000,985.542340876016624,"194"
"6291","6292",242393.595299999986310,8520449.007999999448657,"0",839.155029299999796,7.598507473421682,"9","6292","6358",79015.303809580946108,0.000000000000000,1416.127232376861912,"195"
"6292","6293",242360.100600000005215,8521433.981000000610948,"0",601.327026399999795,4.319372752722178,"9","6292","6293",60413.657608506371616,0.000000000000000,985.542340876016624,"196"
