Unnamed_ 0,ID,X,Y,Population,Elevation,Weight,clusters,ID1,ID2,Weight_2,id_2,line_lengt,i
"88","89",195163.406599999987520,8445899.114000000059605,"33",479.463012699999979,3.372127454025009,"0","89","102",5307.560041574705792,"0",1015.540304099387981,"18"
"89","90",195129.196100000001024,8446884.689999999478459,"0",522.658019999999965,1.000000000000000,"0","90","533",11112.321253391024584,"0",986.164321304249142,"19"
"100","101",196212.592499999998836,8444947.453999999910593,"8",495.118988000000002,4.733403954683642,"0","88","101",8012.811031088711388,"0",1015.534841062206397,"20"
"101","102",196178.380499999999302,8445933.027000000700355,"11",501.829009999999982,3.134357975675244,"0","89","102",5307.560041574705792,"0",1015.540304099387981,"21"
"101","102",196178.380499999999302,8445933.027000000700355,"11",501.829009999999982,3.134357975675244,"0","102","115",6997.086468757021066,"0",1015.532541159525977,"22"
"114","115",197193.346900000004098,8445966.932000000029802,"0",508.721008300000051,1.000000000000000,"0","102","115",6997.086468757021066,"0",1015.532541159525977,"23"
"114","115",197193.346900000004098,8445966.932000000029802,"0",508.721008300000051,1.000000000000000,"0","115","127",12436.613715935329310,"0",1414.630365975312316,"24"
"126","127",198174.112300000007963,8446986.382000001147389,"0",548.432006799999954,4.273303927044663,"0","609","127",12433.314545492816251,"0",1414.619186359025889,"25"
"126","127",198174.112300000007963,8446986.382000001147389,"0",548.432006799999954,4.273303927044663,"0","115","127",12436.613715935329310,"0",1414.630365975312316,"26"
"257","258",183963.924599999998463,8446511.219000000506639,"3",439.712005599999998,7.088405908057108,"0","258","279",33303.917162573401583,"0",1414.791337582840470,"27"
"258","259",183792.673199999990175,8451439.446000000461936,"56",426.502014200000019,1.000000000000000,"0","259","281",6108.363881835301072,"0",1015.658275414193895,"28"
"259","260",183724.224599999986822,8453410.707000000402331,"2",417.425994899999978,9.037570215955226,"0","261","260",26452.607402887995704,"0",986.217625875387853,"29"
"259","260",183724.224599999986822,8453410.707000000402331,"2",417.425994899999978,9.037570215955226,"0","260","282",36036.156129273913393,"0",1416.604455244625342,"30"
"260","261",183690.011499999993248,8454396.331000000238419,"0",455.819000200000005,7.045226357321019,"0","261","262",23167.974184749207780,"0",986.212372195538137,"31"
"260","261",183690.011499999993248,8454396.331000000238419,"0",455.819000200000005,7.045226357321019,"0","261","260",26452.607402887995704,"0",986.217625875387853,"32"
"261","262",183655.805800000001909,8455381.949999999254942,"0",432.303985599999976,7.047300705868603,"0","261","262",23167.974184749207780,"0",986.212372195538137,"33"
"261","262",183655.805800000001909,8455381.949999999254942,"0",432.303985599999976,7.047300705868603,"0","262","263",23162.671315682920977,"0",986.209117367940848,"34"
"262","263",183621.607500000012806,8456367.565999999642372,"0",436.876007099999981,7.045900307148376,"0","262","263",23162.671315682920977,"0",986.209117367940848,"35"
"262","263",183621.607500000012806,8456367.565999999642372,"0",436.876007099999981,7.045900307148376,"0","263","264",23173.335732596402522,"0",986.203860329323902,"36"
"263","264",183587.416700000001583,8457353.177000001072884,"6",450.354003900000009,7.052699520390638,"0","263","264",23173.335732596402522,"0",986.203860329323902,"37"
"278","279",184944.727799999993294,8447530.856000000610948,"2",447.516998300000012,7.036676784941768,"0","258","279",33303.917162573401583,"0",1414.791337582840470,"38"
"278","279",184944.727799999993294,8447530.856000000610948,"2",447.516998300000012,7.036676784941768,"0","279","306",37998.375131715438329,"0",1414.779574062076563,"39"
"279","280",184841.993699999991804,8450487.769999999552965,"10",432.549011199999995,7.092338343778584,"0","280","281",15944.182973867069450,"0",986.223205819201439,"40"
"280","281",184807.763799999986077,8451473.399000000208616,"1",436.341003399999977,2.608706768338791,"0","259","281",6108.363881835301072,"0",1015.658275414193895,"41"
