ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,Road_dist,M,PS,Unnamed_ 0,Weight,clusters,layer,path
"5129",224055.708899999997811,8521822.877999998629093,"7",509.661010700000020,,,,,"0","0","5128",7.163986234790702,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5130",224022.160700000007637,8522807.962999999523163,"0",484.106994600000064,,,,,"0","0","5129",7.359743747512783,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5131",223988.619100000010803,8523793.046000000089407,"9",434.046997099999999,,,,,"0","0","5130",9.139398934349707,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5132",223955.083899999997811,8524778.126000000163913,"0",426.333007800000019,,,,,"0","0","5131",7.117705188636268,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5133",223921.555300000007264,8525763.202999999746680,"0",419.683013899999935,,,,,"0","0","5132",7.051601692604033,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5134",223888.033100000000559,8526748.277999999001622,"0",415.196991000000025,,,,,"0","0","5133",5.452548941605418,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5135",223854.517499999987194,8527733.350999999791384,"0",409.822997999999984,,,,,"0","0","5134",4.166947396347155,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5136",223821.008399999991525,8528718.421000000089407,"0",392.018005399999993,,,,,"0","0","5135",2.794849763119517,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5137",223787.505700000008801,8529703.487999999895692,"0",395.191009500000007,,,,,"0","0","5136",5.099095833440300,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5138",223754.009699999995064,8530688.552999999374151,"3",414.101989699999990,,,,,"0","0","5137",6.039250238638372,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5139",223720.520099999994272,8531673.615000000223517,"0",387.795013400000016,,,,,"0","0","5138",7.030032183763153,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5190",225238.635199999989709,8516930.607999999076128,"0",925.125000000000000,,,,,"0","0","5189",9.648311343139216,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5191",225205.058300000004238,8517915.699999999254942,"0",575.603027299999894,,,,,"0","0","5190",7.265933464041120,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5192",225171.487900000007357,8518900.789999999105930,"0",546.369995099999983,,,,,"0","0","5191",9.088410798423840,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5193",225137.923999999999069,8519885.877000000327826,"0",501.605011000000104,,,,,"0","0","5192",9.415187532277010,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5194",225104.366600000008475,8520870.961000001057982,"4",471.739990200000022,,,,,"0","0","5193",9.027410551694610,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5195",225070.815600000001723,8521856.042000001296401,"7",461.437988299999972,,,,,"0","0","5194",7.022015992664640,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5196",225037.271100000012666,8522841.120999999344349,"5",442.529998799999987,,,,,"0","0","5195",7.042198413636268,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5197",225003.733100000012200,8523826.197000000625849,"4",420.057006800000011,,,,,"0","0","5196",7.020274958450142,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5198",224970.201600000000326,8524811.269999999552965,"0",405.166992199999981,,,,,"0","0","5197",6.704803939734155,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5199",224936.676500000001397,8525796.341000000014901,"0",395.299987799999997,,,,,"0","0","5198",4.888818581566563,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5200",224903.157999999995809,8526781.408999999985099,"2",393.671997100000056,,,,,"0","0","5199",2.869832479405032,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5201",224869.645900000003166,8527766.474999999627471,"0",381.489013699999987,,,,,"0","0","5200",4.897218506006785,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5202",224836.140199999994365,8528751.537999998778105,"0",375.420990000000018,,,,,"0","0","5201",6.648144908718598,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5203",224802.641100000008009,8529736.598999999463558,"0",374.964996299999996,,,,,"0","0","5202",7.044962516794118,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5204",224769.148500000010245,8530721.656999999657273,"0",382.654998799999987,,,,,"0","0","5203",7.055559802498393,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5205",224735.662400000001071,8531706.712999999523163,"0",380.937011700000028,,,,,"0","0","5204",7.038977849730816,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5256",226253.716400000004796,8516963.800000000745058,"0",922.172973599999978,,,,,"0","0","5255",9.292786573087332,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5257",226220.143400000000838,8517948.885999999940395,"0",593.333007800000019,,,,,"0","0","5256",9.312746444906226,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5258",226186.576800000009825,8518933.969000000506639,"0",483.157012899999984,,,,,"0","0","5257",7.039654641037768,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5259",226153.016600000002654,8519919.049000000581145,"0",484.048004199999866,,,,,"0","0","5258",9.190873090354087,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5260",226119.462900000013178,8520904.126000000163913,"0",453.055999799999995,,,,,"0","0","5259",9.037625327261699,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5261",226085.915600000007544,8521889.200999999418855,"2",443.376007099999981,,,,,"0","0","5260",7.051295831162803,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5262",226052.374699999985751,8522874.273000000044703,"0",432.388000499999976,,,,,"0","0","5261",6.890568780126118,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5263",226018.840399999986403,8523859.342000000178814,"0",420.822997999999984,,,,,"0","0","5262",3.314030108400267,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5264",225985.312500000000000,8524844.408999999985099,"3",412.799987799999997,,,,,"0","0","5263",1.000000000000000,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5265",225951.791000000026543,8525829.472999999299645,"0",388.023010300000010,,,,,"0","0","5264",5.760139384830637,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5266",225918.276000000012573,8526814.535000000149012,"0",384.803985599999976,,,,,"0","0","5265",7.989830646886102,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5267",225884.767400000011548,8527799.594000000506639,"0",390.662994400000002,,,,,"0","0","5266",9.101748483344506,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5268",225851.265299999999115,8528784.650000000372529,"0",380.958007800000019,,,,,"0","0","5267",9.048414915807683,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5269",225817.769700000004377,8529769.703999999910593,"0",369.169006299999978,,,,,"0","0","5268",7.038013277631824,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5270",225784.280499999993481,8530754.755000000819564,"0",366.248992900000019,,,,,"0","0","5269",7.031915391787662,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5271",225750.797800000000279,8531739.803999999538064,"0",369.729003900000009,,,,,"0","0","5270",7.015686720360272,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5323",227235.221699999994598,8517982.065999999642372,"0",708.380981399999882,,,,,"0","0","5322",9.431232997484074,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5324",227201.658800000004703,8518967.142000000923872,"0",555.296020500000054,,,,,"0","0","5323",9.231130974365188,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5325",227168.102400000003399,8519952.214999999850988,"0",472.355987500000026,,,,,"0","0","5324",7.248505354993237,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5326",227134.552399999985937,8520937.286000000312924,"0",443.934997599999974,,,,,"0","0","5325",7.013578023885070,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5327",227101.008800000010524,8521922.354000000283122,"0",430.420990000000018,,,,,"0","0","5326",7.046889006386722,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
"5328",227067.471599999989849,8522907.418999999761581,"0",427.054992700000014,,,,,"0","0","5327",3.844658617991629,"9",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp
