Unnamed_ 0,X,Y,Population,Elevation,Weight,clusters,PS,ID1,ID2,Weight_2,id_2,line_lengt,layer,path,id
"25",194985.225100000010571,8510020.177999999374151,"0",900.039001500000040,5.558433229326920,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","25"
"26",194951.490500000014435,8511005.500000000000000,"0",862.413024899999982,7.981966122285278,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","26"
"27",194917.763000000006286,8511990.819000000134110,"0",931.064025900000047,7.217202680829923,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","27"
"28",194884.042699999990873,8512976.133999999612570,"0",939.135009800000034,7.214655359862645,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","28"
"29",196169.258399999991525,8505126.979000000283122,"0",640.622985799999810,9.186011999861446,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","29"
"30",196135.491899999993620,8506112.308000000193715,"0",745.364990200000193,9.391966768372100,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","30"
"31",196101.732500000012806,8507097.633999999612570,"0",917.289978000000019,9.276531086515275,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","31"
"32",196067.980299999995623,8508082.957000000402331,"0",945.992980999999986,7.190682778385643,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","32"
"33",196034.235300000000279,8509068.277000000700355,"0",926.163024899999982,5.293651402175512,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","33"
"34",196000.497499999997672,8510053.594000000506639,"0",956.658996600000023,3.883552100511052,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","34"
"35",195966.766899999987800,8511038.908999999985099,"0",932.664001500000040,9.137703531604508,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","35"
"36",195933.043399999995017,8512024.220000000670552,"0",908.312988300000029,7.149960755147736,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","36"
"37",195899.327099999994971,8513009.527999999001622,"0",945.476013200000011,7.167562637872792,"8","0",,,,,,Difference,"MultiPoint?crs=EPSG:32723&field=Unnamed_%200:long(18,0)&field=ID:long(18,0)&field=X:double(23,15)&field=Y:double(23,15)&field=Population:long(18,0)&field=Elevation:double(23,15)&field=Weight:double(23,15)&field=clusters:long(18,0)&uid={af20f12a-35ce-49ae-b604-99c472f10235}","37"
