ID,X,Y,Population,Elevation,Weight,clusters,id_2,Weight_2,ID1,ID2,line_lengt,i
"6936",221188.533499999990454,8546383.283999999985099,"0",326.950988800000005,7.078967072097264,"9","0",26044.755835428521095,"6935","6936",970.401013762014372,"380"
"6936",221188.533499999990454,8546383.283999999985099,"0",326.950988800000005,7.078967072097264,"9","0",23148.598699222715368,"6936","6937",985.584023374484445,"381"
"6937",221155.165299999993294,8547368.302999999374151,"0",340.282989499999985,7.013466727442280,"9","0",23148.598699222715368,"6936","6937",985.584023374484445,"382"
"6937",221155.165299999993294,8547368.302999999374151,"0",340.282989499999985,7.013466727442280,"9","0",22294.405261299063568,"6937","6938",832.297447759400484,"383"
"6938",221095.513000000006286,8548198.460000000894070,"7",321.671997100000056,9.056073864653873,"9","0",30063.666350213137775,"6921","6938",997.298400220598296,"384"
"6938",221095.513000000006286,8548198.460000000894070,"7",321.671997100000056,9.056073864653873,"9","0",22294.405261299063568,"6937","6938",832.297447759400484,"385"
"6945",222471.103000000002794,8538535.928999999538064,"0",333.246002200000021,7.017309480243174,"9","0",11879.897270861667494,"6928","6945",1015.717600470422326,"386"
"6945",222471.103000000002794,8538535.928999999538064,"0",333.246002200000021,7.017309480243174,"9","0",16542.304296635975334,"6945","6962",1414.330730971802495,"387"
"6947",222371.532799999986310,8540451.901000000536442,"10",321.605987500000026,7.013527580649308,"9","0",26300.594095866108546,"6930","6947",982.716595377943918,"388"
"6947",222371.532799999986310,8540451.901000000536442,"10",321.605987500000026,7.013527580649308,"9","0",16429.793194233199756,"6947","6962",1405.487559601495605,"389"
"6962",223452.838099999993574,8539554.028999999165535,"2",325.105010999999990,7.049226647392598,"9","0",16542.304296635975334,"6945","6962",1414.330730971802495,"390"
"6962",223452.838099999993574,8539554.028999999165535,"2",325.105010999999990,7.049226647392598,"9","0",16429.793194233199756,"6947","6962",1405.487559601495605,"391"
"6962",223452.838099999993574,8539554.028999999165535,"2",325.105010999999990,7.049226647392598,"9","0",9159.396765329945993,"6962","6963",780.386671796790779,"392"
"6963",223367.968300000007730,8540329.787000000476837,"16",327.747985799999981,7.041862667980576,"9","0",9159.396765329945993,"6962","6963",780.386671796790779,"393"
"6979",225483.168999999994412,8539620.109999999403954,"0",351.774993900000027,7.075745076213797,"9","0",11041.718564109851286,"6979","6980",943.830631663240410,"394"
"6979",225483.168999999994412,8539620.109999999403954,"0",351.774993900000027,7.075745076213797,"9","0",16648.998436572997889,"6979","6990",1414.296854861472639,"395"
"6980",225481.413999999989755,8540563.938999999314547,"13",325.868988000000002,7.016359968947812,"9","0",11041.718564109851286,"6979","6980",943.830631663240410,"396"
"6990",226464.902999999991152,8540638.163999998942018,"5",329.884002699999996,7.062016180082630,"9","0",16648.998436572997889,"6979","6990",1414.296854861472639,"397"
"6992",227747.578899999993155,8532791.004000000655651,"0",354.015991199999974,7.019434189356350,"9","0",23128.795284988431376,"5403","6992",985.601446744579334,"398"
"6992",227747.578899999993155,8532791.004000000655651,"0",354.015991199999974,7.019434189356350,"9","0",23100.103060747725976,"6992","6993",985.599230584623115,"399"
"6993",227714.115900000004331,8533776.035000000149012,"13",349.993011500000023,7.044428769724264,"9","0",23100.103060747725976,"6992","6993",985.599230584623115,"400"
"6993",227714.115900000004331,8533776.035000000149012,"13",349.993011500000023,7.044428769724264,"9","0",23123.376518729673990,"6993","6994",985.597014465301868,"401"
"6994",227680.659299999999348,8534761.063999999314547,"5",344.036010700000020,7.033495389379274,"9","0",23123.376518729673990,"6993","6994",985.597014465301868,"402"
"6994",227680.659299999999348,8534761.063999999314547,"5",344.036010700000020,7.033495389379274,"9","0",16579.757661840794754,"6994","7005",1414.272727178251671,"403"
"6995",227647.209200000012061,8535746.089999999850988,"12",337.760009800000091,7.030967763194108,"9","0",11550.652127330155054,"6995","6996",985.590583501855804,"404"
"6996",227613.765400000003865,8536731.112999999895692,"8",348.906005900000025,7.026272078444476,"9","0",11550.652127330155054,"6995","6996",985.590583501855804,"405"
"6996",227613.765400000003865,8536731.112999999895692,"8",348.906005900000025,7.026272078444476,"9","0",11650.662917068913885,"6996","6997",985.588364111372584,"406"
"6996",227613.765400000003865,8536731.112999999895692,"8",348.906005900000025,7.026272078444476,"9","0",21373.777227830094489,"6996","7007",1414.273955820960964,"407"
"6997",227580.328100000013364,8537716.133999999612570,"17",340.700012200000003,7.092077402899566,"9","0",11650.662917068913885,"6996","6997",985.588364111372584,"408"
"7004",228695.784600000013597,8534794.118999999016523,"5",365.507995600000015,9.053451026621461,"9","0",14873.170379074215816,"7004","7005",985.586687609824708,"409"
"7005",228662.337800000008428,8535779.138000000268221,"2",351.917999300000020,7.049465008930461,"9","0",16579.757661840794754,"6994","7005",1414.272727178251671,"410"
"7005",228662.337800000008428,8535779.138000000268221,"2",351.917999300000020,7.049465008930461,"9","0",14873.170379074215816,"7004","7005",985.586687609824708,"411"
"7007",228595.463300000003073,8537749.169999999925494,"3",334.817993199999989,9.067195424296012,"9","0",21373.777227830094489,"6996","7007",1414.273955820960964,"412"
"7007",228595.463300000003073,8537749.169999999925494,"3",334.817993199999989,9.067195424296012,"9","0",29720.997487862023263,"7007","7008",985.579040252969889,"413"
"7008",228562.035700000007637,8538734.182000000029802,"8",331.147003199999972,9.028013069280052,"9","0",29720.997487862023263,"7007","7008",985.579040252969889,"414"
"7008",228562.035700000007637,8538734.182000000029802,"8",331.147003199999972,9.028013069280052,"9","0",29623.251289154617552,"7008","7009",985.576827747715811,"415"
"7009",228528.614399999991292,8539719.191999999806285,"5",328.687988299999972,9.007793494880584,"9","0",29623.251289154617552,"7008","7009",985.576827747715811,"416"
"7009",228528.614399999991292,8539719.191999999806285,"5",328.687988299999972,9.007793494880584,"9","0",27120.732982378853194,"7009","7018",1015.671792713550190,"417"
"7011",229777.809299999993527,8532857.135999999940395,"2",372.194000200000005,7.019562049272145,"9","0",33174.573140997243172,"5597","7011",1416.230040241986899,"418"
"7016",229610.591799999994691,8537782.199999999254942,"7",343.920013400000016,9.013331394897703,"9","0",29634.062309729470144,"7016","7017",985.571935752014952,"419"
"7017",229577.167400000005728,8538767.205000000074506,"2",347.778015100000005,9.029064826114741,"9","0",29634.062309729470144,"7016","7017",985.571935752014952,"420"
