id,X,Y,PS,Unnamed_ 0,Population,Elevation,Weight,clusters,layer,path
"36",844756.4351,8506620.131,"0","1403","0",664.043029799999999,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"37",844746.7647,8507606.305,"0","1404","0",799.252990700000055,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"38",844737.0859,8508592.475,"0","1405","0",854.674011199999995,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"39",844727.3986,8509578.642,"0","1406","0",900.039001500000040,4.510522327500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"40",844717.7028,8510564.806,"0","1407","0",862.413024899999982,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"41",844707.9985,8511550.966,"0","1408","0",931.064025900000047,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"42",844698.2858,8512537.122,"0","1409","0",939.135009800000034,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"43",845801.4901,8503670.174,"0","1451","0",832.676025399999958,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"44",845791.8487,8504656.367,"0","1452","0",640.622985799999810,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"45",845782.1989,8505642.558,"0","1453","0",745.364990200000193,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"46",845772.5404,8506628.744,"0","1454","0",917.289978000000019,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"47",845762.8735,8507614.927,"0","1455","0",945.992980999999986,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"48",845753.1981,8508601.106,"0","1456","0",926.163024899999982,4.047199411000001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"49",845743.5141,8509587.281,"0","1457","0",956.658996600000023,2.813982096500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"50",845733.8217,8510573.453,"0","1458","0",932.664001500000040,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"51",845724.1207,8511559.622,"0","1459","0",908.312988300000029,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"52",845714.4112,8512545.786,"0","1460","0",945.476013200000011,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"53",845704.6933,8513531.948,"0","1461","0",962.911010700000020,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"54",846827.2233,8502692.55,"0","1501","0",992.010986300000013,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"55",846817.594,8503678.756,"0","1502","0",746.635009799999807,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"56",846807.9561,8504664.958,"0","1503","0",797.304016100000013,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"57",846798.3097,8505651.157,"0","1504","0",685.296020500000054,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"58",846788.6547,8506637.352,"0","1505","0",832.005981399999882,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"59",846778.9912,8507623.543,"0","1506","0",958.023010300000010,4.908760274500001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"60",846769.3192,8508609.731,"0","1507","12",931.934021000000030,4.296419058500001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"61",846759.6386,8509595.915,"0","1508","0",963.109008799999970,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"62",846749.9495,8510582.095,"0","1509","0",947.359008799999970,4.306268504000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"63",846740.2518,8511568.272,"0","1510","0",923.961975100000018,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"64",846730.5456,8512554.446,"0","1511","0",905.840026899999998,5.649063941000001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"65",846720.8309,8513540.616,"0","1512","0",931.458007800000019,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"66",847843.3326,8502701.117,"0","1552","0",862.401977500000044,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"67",847833.7068,8503687.332,"0","1553","0",898.177978499999995,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"68",847824.0725,8504673.543,"0","1554","0",896.422973599999978,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"69",847814.4295,8505659.75,"0","1555","0",827.117004399999814,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"70",847804.7779,8506645.954,"0","1556","0",813.179992700000184,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"71",847795.1178,8507632.153,"0","1557","43",858.541015599999810,2.809661785500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"72",847785.4492,8508618.35,"0","1558","115",919.656982399999947,1.580284107500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"73",847775.772,8509604.542,"0","1559","7",923.020019499999989,1.895560507500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"74",847766.0862,8510590.732,"0","1560","0",924.286987299999964,1.833167512000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"75",847756.3919,8511576.917,"0","1561","0",931.338012700000036,3.509867900500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"76",847746.6889,8512563.099,"0","1562","0",934.356018100000028,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"77",847736.9775,8513549.278,"0","1563","0",916.681030299999975,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"78",847727.2575,8514535.453,"0","1564","0",933.004028299999959,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"79",848859.4509,8502709.679,"0","1603","0",827.143005399999993,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"80",848849.8286,8503695.902,"0","1604","0",931.390014599999972,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"81",848840.1977,8504682.122,"0","1605","0",1020.469970999999987,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"82",848830.5582,8505668.338,"0","1606","0",821.882995600000186,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"83",848820.9101,8506654.55,"0","1607","0",798.257019000000014,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"84",848811.2534,8507640.759,"0","1608","0",893.864013699999987,4.776718341500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"85",848801.5881,8508626.963,"0","1609","2",834.898010299999896,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"86",848791.9143,8509613.165,"0","1610","0",918.083984399999963,5.619515416500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"87",848782.2318,8510599.363,"0","1611","0",937.387023900000031,5.566886383500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"88",848772.5408,8511585.557,"0","1612","0",939.734008799999970,2.013809341000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"89",848762.8412,8512571.747,"0","1613","0",955.788024899999982,1.615825331500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"90",848753.133,8513557.935,"0","1614","0",946.729980500000011,2.095328174000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"91",849875.5781,8502718.235,"0","1654","0",818.020019499999989,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"92",849865.9593,8503704.467,"0","1655","0",942.827026400000022,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"93",849856.3319,8504690.696,"0","1656","0",932.223022499999956,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"94",849846.6959,8505676.92,"0","1657","0",906.294006299999978,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"95",849837.0513,8506663.141,"0","1658","0",905.911987299999964,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"96",849827.398,8507649.358,"0","1659","0",751.827026399999795,3.565182001500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"97",849817.7361,8508635.572,"0","1660","10",864.101989699999990,2.249509965000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"98",849808.0656,8509621.782,"0","1661","0",864.349975600000107,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"99",849798.3865,8510607.988,"0","1662","0",870.007018999999900,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"100",849788.6987,8511594.191,"0","1663","0",845.854003899999725,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"101",849779.0024,8512580.39,"0","1664","0",880.202026400000022,5.366025782000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"102",849769.2975,8513566.586,"0","1665","0",964.723999000000049,4.959406647500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"103",850882.0991,8503713.027,"0","1706","0",883.856994600000007,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"104",850872.4752,8504699.263,"0","1707","0",917.706970200000001,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"105",850862.8426,8505685.497,"0","1708","0",943.700988800000005,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"106",850853.2014,8506671.726,"0","1709","0",862.823974599999815,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"107",850843.5516,8507657.952,"0","1710","0",848.395019499999989,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"108",850833.8931,8508644.174,"0","1711","6",809.370971700000041,2.813790353000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"109",850824.2259,8509630.393,"0","1712","0",874.107971200000179,3.432759437000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"110",850814.5501,8510616.608,"0","1713","0",800.736999500000024,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"111",850804.8657,8511602.82,"0","1714","0",816.364990200000193,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"112",850795.1727,8512589.028,"0","1715","0",828.442993200000046,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"113",850785.471,8513575.232,"0","1716","0",970.455017099999964,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"114",851898.248,8503721.58,"0","1757","0",900.080017099999964,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"115",851888.6275,8504707.826,"0","1758","0",857.494018600000118,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"116",851878.9984,8505694.068,"0","1759","0",879.252014200000190,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"117",851869.3606,8506680.306,"0","1760","0",900.968994100000032,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"118",851859.7142,8507666.54,"0","1761","2",841.932983399999898,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"119",851850.0591,8508652.771,"0","1762","6",785.221008299999994,3.920403655000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"120",851840.3952,8509638.999,"0","1763","4",782.690002400000026,2.448059260500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"121",851830.7228,8510625.223,"0","1764","0",827.645019499999989,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"122",851821.0417,8511611.443,"0","1765","4",825.809997599999974,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
