X,Y,Population,Elevation,Weight,clusters,PS,line_lengt,id
218845.845999999990454,8525597.428999999538064,"0",1078.319946000000073,9.120106299134356,"9","0",,"85"
218812.306000000011409,8526582.537999998778105,"0",1058.270019999999931,7.060316014820637,"9","0",,"86"
218778.772599999996601,8527567.643999999389052,"0",947.216980000000035,8.271445548833652,"9","0",,"87"
218745.245900000008987,8528552.747999999672174,"0",660.817993200000046,7.230316848624871,"9","0",,"88"
218711.725799999985611,8529537.848999999463558,"0",684.080993700000136,7.319845046788156,"9","0",,"89"
218678.212300000013784,8530522.947999998927116,"0",620.419006299999864,7.169804471370216,"9","0",,"90"
218644.705500000010943,8531508.044999999925494,"0",579.708984399999963,7.166816295841527,"9","0",,"91"
220062.358799999987241,8519719.927999999374151,"0",1115.920043999999962,7.166715310850719,"9","0",,"92"
220028.782700000010664,8520705.046000000089407,"0",1124.099975999999970,9.214789589809580,"9","0",,"93"
219995.213300000003073,8521690.161000000312924,"0",1133.219970999999987,9.166283811688340,"9","0",,"94"
219961.650499999988824,8522675.273000000044703,"0",1120.099975999999970,9.102867064833053,"9","0",,"95"
219928.094299999997020,8523660.382999999448657,"0",1083.920043999999962,9.132074490330336,"9","0",,"96"
219894.544699999998556,8524645.491000000387430,"0",1079.239990000000034,7.746370821297891,"9","0",,"97"
219861.001699999993434,8525630.595000000670552,"0",1054.959961000000021,9.144302935553128,"9","0",,"98"
219827.465200000006007,8526615.697000000625849,"0",1035.410033999999996,7.077422811679523,"9","0",,"99"
219793.935399999987567,8527600.797000000253320,"0",769.955993700000136,7.267851079048652,"9","0",,"100"
219760.412199999991572,8528585.893999999389052,"0",680.924987799999826,7.322650559828339,"9","0",,"101"
219726.895599999988917,8529570.987999999895692,"0",682.934997599999974,7.342128156409927,"9","0",,"102"
219693.385600000008708,8530556.080000000074506,"0",684.172973600000205,7.223767756400973,"9","0",,"103"
219659.882299999997485,8531541.169999999925494,"0",493.238006600000062,6.377243724635471,"9","0",,"104"
221111.064400000002934,8518768.015000000596046,"0",1087.859985000000052,7.234818071449225,"9","0",,"105"
221077.485500000009779,8519753.129000000655651,"0",1197.270019999999931,7.877080929998137,"9","0",,"106"
221043.913200000009965,8520738.240000000223517,"0",1061.420043999999962,7.167623366129618,"9","0",,"107"
221010.347500000003492,8521723.348999999463558,"0",1137.910033999999996,9.153087413183924,"9","0",,"108"
220976.788399999990361,8522708.453999999910593,"0",1100.849975999999970,9.063723092149420,"9","0",,"109"
220943.235799999994924,8523693.558000000193715,"0",1118.229980000000069,9.145281202342575,"9","0",,"110"
220909.689799999992829,8524678.657999999821186,"0",1111.119995000000017,7.171538853616549,"9","0",,"111"
220876.150400000013178,8525663.756000000983477,"0",851.447998000000098,7.557534828455942,"9","0",,"112"
220842.617599999997765,8526648.850999999791384,"0",786.031005899999968,7.530925604757942,"9","0",,"113"
220809.091300000000047,8527633.944000000134110,"0",672.153991700000006,7.440387034454602,"9","0",,"114"
220775.571599999995669,8528619.033999999985099,"0",546.307983400000012,7.109619602186482,"9","0",,"115"
